NOMBRE,Month,NDVI,NDVI_p25,NDVI_p75,anio_actual
Valencia Alto,3.0,0.1199,0.1127,0.1329,0.1258
Costa Sol,3.0,0.0850,0.0812,0.0929,0.0862
California,3.0,0.1269,0.1213,0.1315,0.1315
Camilo Henriquez,3.0,0.1513,0.1402,0.1578,0.1545
El Bosque,3.0,0.3095,0.2592,0.3254,0.3267
El Sol,3.0,0.2571,0.2314,0.2683,0.2683
General Baquedano,3.0,0.1620,0.1408,0.1701,0.1701
Infante,3.0,0.2270,0.2017,0.2421,0.2502
Lo Gamboa,3.0,0.1279,0.1176,0.1311,0.1294
Los Espinos,3.0,0.2193,0.2064,0.2313,0.2337
Retiro,3.0,0.2217,0.2009,0.2271,0.2292
Viñas del Sol,3.0,0.2067,0.1950,0.2216,0.2223
Buenos Aires,3.0,0.1660,0.1536,0.1696,0.1730
Casa de Valencia,3.0,0.2013,0.1723,0.2116,0.2116
Hevia,3.0,0.1407,0.1322,0.1453,0.1448
Humbolt,3.0,0.1874,0.1633,0.1903,0.1903
Phillips,3.0,0.1484,0.1292,0.1547,0.1517
Poblacion Argentina,3.0,0.2015,0.1770,0.2318,0.1960
Poblacion Canal Chacao,3.0,0.2332,0.1884,0.2479,0.2328
San Gregorio,3.0,0.1225,0.1151,0.1342,0.1243
Valencia Bajo,3.0,0.1486,0.1293,0.1552,0.1524
Villa Paso Hondo,3.0,0.2522,0.2304,0.2643,0.2749
Calicheros,4.0,0.1974,0.1460,0.2315,0.2029
Belloto 2000,4.0,0.1075,0.0928,0.1134,0.1075
Belloto Centro,4.0,0.1185,0.0933,0.1221,0.1185
Bernando Ohiggins,4.0,0.1335,0.1095,0.1376,0.1376
Cruz del Sur,4.0,0.1132,0.0938,0.1198,0.1132
82,4.0,0.1457,0.1211,0.1554,0.1554
Belloto Norte,4.0,0.1531,0.1285,0.1603,0.1570
E.E.U.U,4.0,0.1518,0.1225,0.1552,0.1552
Lincoyan,4.0,0.1456,0.1184,0.1487,0.1485
Los Colonos,4.0,0.2154,0.1778,0.2407,0.2407
Patricio Lynch,4.0,0.2032,0.1669,0.2095,0.2070
Santa Marta,4.0,0.1914,0.1603,0.1961,0.1936
Cantera,4.0,0.1118,0.0927,0.1205,0.1118
Decimo Sector,4.0,0.1314,0.1083,0.1392,0.1391
Estero Viejo,4.0,0.1166,0.0949,0.1230,0.1230
Matilde,4.0,0.1427,0.1306,0.1680,0.1518
San Cristobal,4.0,0.1591,0.1306,0.1643,0.1623
Tierras Rojas,4.0,0.1333,0.1136,0.1381,0.1381
Decimo Sector,4.0,0.1453,0.1242,0.1598,0.1570
Matilde,4.0,0.1403,0.1205,0.1720,0.1767
Los Pinos,4.0,0.2128,0.1623,0.2377,0.2271
Marga Marga,4.0,0.1982,0.1571,0.2180,0.2045
60,4.0,0.1585,0.1198,0.1673,0.1673
Castillo Blanco,4.0,0.1290,0.1110,0.1408,0.1310
El Tranque,4.0,0.1657,0.1362,0.1777,0.1687
