NOMBRE,Month,LST_mean,LST_p25,LST_p75,anio_actual
Textil Viña,5.0,16.114687,15.498889,18.302553,-9999.000000
21 de Mayo,5.0,17.242564,15.826090,18.763837,-9999.000000
Barros Arana,5.0,17.400842,15.961621,18.894583,-9999.000000
La Granja,5.0,17.291425,16.507818,19.329331,-9999.000000
Las Viñas,5.0,17.448067,16.045167,18.817291,-9999.000000
Los Estanques,5.0,16.992119,15.795076,18.929825,-9999.000000
Mena,5.0,17.272323,15.859621,18.884738,-9999.000000
Pedro Montt,5.0,17.325024,16.177501,18.795969,-9999.000000
Victoria Oriente,5.0,17.837668,16.437681,20.137881,-9999.000000
Victoria Poniente,5.0,17.192564,15.775578,18.606001,-9999.000000
Villa Olimpica,5.0,17.403568,16.053754,18.597503,-9999.000000
Araya,5.0,16.533866,15.686896,18.311681,-9999.000000
Arturo Prat,5.0,16.827343,15.696222,18.520068,-9999.000000
Blanco,5.0,16.759772,15.585381,18.674848,-9999.000000
Centro,5.0,16.993070,15.746179,18.742904,-9999.000000
Colina de Oro,5.0,15.430065,14.187108,16.598467,-9999.000000
El Esfuerzo,5.0,16.130397,15.347550,17.872918,-9999.000000
Emparte,5.0,17.190820,15.566380,19.300267,-9999.000000
Esmeralda,5.0,15.948120,14.608082,17.604310,-9999.000000
Liceo,5.0,16.370012,15.601557,18.170892,-9999.000000
Poblacion Esperanza,5.0,16.535445,15.227348,18.038837,-9999.000000
Poblacion Ferroviaria,5.0,16.635014,16.094273,18.872532,-9999.000000
R. Sotomayor,5.0,16.870394,15.979918,18.880651,-9999.000000
San Cristobal2,5.0,17.337200,15.875768,19.858821,-9999.000000
Sol del Pacifico,5.0,16.273129,15.255971,18.193664,-9999.000000
Soublete (Francisco Bilbao),5.0,16.185305,15.643660,18.082586,-9999.000000
Thompson,5.0,17.114991,15.864755,18.721592,-9999.000000
M. Mena,5.0,16.973168,15.357046,18.306250,-9999.000000
Manuel Rodriguez,5.0,17.175542,16.120196,19.119335,-9999.000000
No Organizada,5.0,16.461835,14.866356,17.885005,-9999.000000
Pompeya Norte,5.0,15.533212,14.527370,17.492847,-9999.000000
Pompeya Sur,5.0,16.375708,15.008713,18.473844,-9999.000000
Valencia Alto,5.0,16.700291,15.480391,18.491396,-9999.000000
Costa Sol,5.0,16.593674,14.900491,18.065835,-9999.000000
California,5.0,16.959020,15.815090,18.342642,-9999.000000
Camilo Henriquez,5.0,16.111670,14.886434,17.976170,-9999.000000
El Bosque,5.0,15.885528,14.592877,17.365680,-9999.000000
